registration_no,departure_timestamp,flight_duration
ZA7117,1/1/2023 14:01:36,15:33:22
ZA3642,1/1/2023 18:06:20,5:33:59
ZA5453,1/1/2023 23:43:56,4:21:13
ZA0559,1/1/2023 16:09:05,8:58:24
ZA6903,1/1/2023 13:54:48,11:59:58
ZA9604,1/1/2023 12:29:53,9:09:07
ZA5348,1/1/2023 2:59:13,6:23:48
ZA3835,1/1/2023 8:42:41,14:55:44
ZA4949,1/1/2023 0:42:13,3:05:13
ZA2951,1/1/2023 23:40:10,8:05:41
ZA4940,1/1/2023 9:11:30,12:25:47
ZA3121,1/1/2023 4:42:50,7:53:03
ZA6470,1/1/2023 22:59:30,10:03:19
ZA4981,1/1/2023 19:37:53,12:58:38
ZA0647,1/1/2023 9:19:03,14:50:22
ZA5632,1/1/2023 12:23:53,1:46:22
ZA2321,1/1/2023 20:46:09,5:07:25
ZA3408,1/1/2023 22:48:49,1:17:55
ZA2851,1/1/2023 4:28:12,13:45:53
ZA7759,1/1/2023 18:35:41,4:25:57